Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,2592.0,2264.0,3022.0,2555.0,2564.0,1.0,0.3,1701.1
2.6,2059.0,1801.0,2387.0,2008.0,2055.0,1.0,0.3,1350.8
2.7,1639.9,1435.0,1933.0,1589.0,1630.0,1.0,0.3,1080.7
2.8,1301.2,1127.0,1492.0,1281.0,1314.0,1.0,0.3,860.1
2.9,1031.6,893.0,1180.0,1023.0,1029.0,1.0,0.3,682.0
3.0,822.1,707.0,941.0,813.0,829.0,1.0,0.3,539.0
3.1,648.2,563.0,757.0,649.0,656.0,1.0,0.3,430.2
3.2,513.9,443.0,588.0,523.0,443.0,1.0,0.3,339.7
3.3,409.4,344.0,473.0,414.0,417.0,1.0,0.3,269.4
3.4,327.0,265.0,378.0,330.0,344.0,1.0,0.3,215.2
3.5,259.0,201.0,298.0,273.0,276.0,1.0,0.3,169.5
3.6,202.7,158.0,231.0,209.0,227.0,1.0,0.3,133.7
3.7,160.0,127.0,182.0,170.0,171.0,1.0,0.3,106.9
3.8,125.2,98.0,146.0,130.0,136.0,1.0,0.3,85.4
3.9,98.6,77.0,119.0,100.0,78.0,1.0,0.3,66.6
4.0,80.1,61.0,95.0,83.0,84.0,1.0,0.3,54.5
4.1,61.8,43.0,76.0,61.0,76.0,1.0,0.3,41.5
4.2,49.5,34.0,62.0,47.0,51.0,1.0,0.3,32.8
4.3,38.1,28.0,49.0,36.0,45.0,1.0,0.3,24.9
4.4,30.5,22.0,44.0,29.0,31.0,1.0,0.3,20.4
4.5,23.4,16.0,34.0,23.0,18.0,1.0,0.3,15.8
4.6,17.4,12.0,27.0,14.0,12.0,1.0,0.3,12.1
4.7,15.0,9.0,23.0,12.0,11.0,1.0,0.3,10.4
4.8,12.2,7.0,17.0,11.0,17.0,1.0,0.3,8.4
4.9,9.7,5.0,15.0,8.0,7.0,1.0,0.3,6.8
5.0,8.3,3.0,13.0,8.0,11.0,1.0,0.3,5.9
5.1,6.3,2.0,10.0,6.0,7.0,1.0,0.3,4.6
5.2,5.0,2.0,7.0,5.0,6.0,1.0,0.3,3.5
5.3,4.1,2.0,7.0,4.0,4.0,1.0,0.3,2.9
5.4,3.2,1.0,7.0,2.0,2.0,1.0,0.3,2.1
5.5,2.5,0.0,6.0,2.0,2.0,0.8,0.3,1.8
5.6,1.5,0.0,4.0,1.0,1.0,0.8,0.3,1.2
5.7,1.1,0.0,3.0,1.0,0.0,0.6,0.3,1.0
5.8,1.0,0.0,3.0,0.0,0.0,0.5,0.3,0.9
5.9,0.8,0.0,3.0,0.0,0.0,0.5,0.3,0.7
6.0,0.7,0.0,3.0,0.0,0.0,0.4,0.3,0.6
6.1,0.6,0.0,2.0,0.0,0.0,0.4,0.3,0.5
6.2,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
