Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,3535.4,2960.0,4151.0,3427.0,3565.0,1.0,0.3,2096.3
2.6,2816.9,2360.0,3284.0,2771.0,2851.0,1.0,0.3,1670.1
2.7,2241.5,1882.0,2590.0,2189.0,2259.0,1.0,0.3,1336.7
2.8,1781.5,1520.0,2089.0,1755.0,1798.0,1.0,0.3,1064.6
2.9,1409.7,1212.0,1651.0,1374.0,1212.0,1.0,0.3,845.6
3.0,1121.1,950.0,1315.0,1110.0,1115.0,1.0,0.3,669.3
3.1,885.3,744.0,1043.0,861.0,891.0,1.0,0.3,532.6
3.2,706.6,595.0,838.0,693.0,730.0,1.0,0.3,423.5
3.3,561.9,456.0,674.0,546.0,584.0,1.0,0.3,333.6
3.4,446.9,350.0,560.0,427.0,476.0,1.0,0.3,265.6
3.5,354.4,262.0,453.0,356.0,384.0,1.0,0.3,209.5
3.6,278.2,208.0,356.0,288.0,290.0,1.0,0.3,165.0
3.7,220.7,164.0,295.0,229.0,230.0,1.0,0.3,131.7
3.8,172.3,123.0,232.0,179.0,184.0,1.0,0.3,103.9
3.9,135.4,97.0,183.0,140.0,146.0,1.0,0.3,81.0
4.0,107.5,79.0,142.0,112.0,115.0,1.0,0.3,64.7
4.1,83.8,61.0,109.0,84.0,61.0,1.0,0.3,50.1
4.2,66.7,48.0,88.0,65.0,68.0,1.0,0.3,39.9
4.3,52.1,37.0,66.0,52.0,55.0,1.0,0.3,30.8
4.4,41.3,29.0,54.0,41.0,42.0,1.0,0.3,24.9
4.5,32.3,20.0,42.0,31.0,42.0,1.0,0.3,19.6
4.6,24.6,15.0,36.0,27.0,27.0,1.0,0.3,15.0
4.7,20.2,12.0,31.0,21.0,12.0,1.0,0.3,12.4
4.8,16.6,10.0,25.0,15.0,10.0,1.0,0.3,10.2
4.9,12.9,6.0,19.0,13.0,16.0,1.0,0.3,8.2
5.0,10.8,3.0,17.0,12.0,13.0,1.0,0.3,7.0
5.1,8.1,2.0,16.0,8.0,9.0,1.0,0.3,5.2
5.2,6.7,2.0,16.0,6.0,6.0,1.0,0.3,4.0
5.3,5.5,2.0,14.0,4.0,4.0,1.0,0.3,3.4
5.4,4.1,1.0,11.0,3.0,2.0,1.0,0.3,2.5
5.5,3.3,0.0,9.0,2.0,2.0,0.9,0.3,2.2
5.6,2.0,0.0,4.0,2.0,2.0,0.8,0.3,1.5
5.7,1.3,0.0,3.0,1.0,0.0,0.6,0.3,1.2
5.8,1.2,0.0,3.0,1.0,2.0,0.6,0.3,1.1
5.9,0.9,0.0,3.0,1.0,1.0,0.6,0.3,0.8
6.0,0.7,0.0,3.0,0.0,0.0,0.4,0.3,0.6
6.1,0.6,0.0,2.0,0.0,0.0,0.4,0.3,0.5
6.2,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
