Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20587009,358.0,289.7,286.0,303.0,253.0,342.0,253.0,260.0,322.0,342.0
0.41174018,435.0,351.1,354.0,356.0,312.0,413.0,312.0,315.0,388.0,413.0
0.6176103,469.0,388.7,383.0,390.0,346.0,446.0,346.0,347.0,432.0,446.0
0.82348037,491.0,414.3,408.0,372.0,372.0,488.0,372.0,372.0,457.0,488.0
1.0293504,508.0,438.5,433.0,433.0,384.0,514.0,384.0,392.0,485.0,514.0
1.2352206,522.0,455.7,453.0,456.0,392.0,526.0,392.0,405.0,513.0,526.0
1.4410906,537.0,473.2,471.0,474.0,408.0,550.0,408.0,417.0,533.0,550.0
1.6469607,545.0,487.6,486.0,488.0,413.0,567.0,413.0,431.0,545.0,567.0
1.8528308,555.0,497.2,496.0,500.0,421.0,581.0,421.0,438.0,555.0,581.0
2.0587008,559.0,508.4,506.0,512.0,431.0,591.0,431.0,446.0,561.0,591.0
2.264571,568.0,518.2,516.0,523.0,440.0,598.0,440.0,452.0,575.0,598.0
2.470441,575.0,528.8,525.0,531.0,443.0,613.0,443.0,462.0,589.0,613.0
2.6763113,582.0,537.3,534.0,542.0,449.0,623.0,449.0,473.0,604.0,623.0
2.8821812,588.0,545.4,543.0,552.0,455.0,629.0,455.0,481.0,617.0,629.0
3.0880513,590.0,552.2,544.0,555.0,461.0,640.0,461.0,491.0,622.0,640.0
3.2939215,598.0,557.8,550.0,558.0,463.0,650.0,463.0,495.0,628.0,650.0
3.4997916,601.0,565.9,557.0,565.0,466.0,657.0,466.0,504.0,637.0,657.0
3.7056615,607.0,572.3,564.0,569.0,473.0,668.0,473.0,507.0,643.0,668.0
3.9115317,610.0,577.9,566.0,575.0,480.0,676.0,480.0,510.0,651.0,676.0
4.1174016,613.0,582.9,571.0,579.0,483.0,682.0,483.0,515.0,659.0,682.0
4.3232718,619.0,587.8,579.0,588.0,487.0,685.0,487.0,515.0,664.0,685.0
4.529142,630.0,592.1,582.0,596.0,497.0,687.0,497.0,517.0,672.0,687.0
4.735012,635.0,598.2,586.0,604.0,500.0,695.0,500.0,524.0,678.0,695.0
4.940882,647.0,603.2,593.0,611.0,504.0,697.0,504.0,529.0,684.0,697.0
5.1467524,652.0,607.0,602.0,614.0,508.0,700.0,508.0,532.0,689.0,700.0
5.3526225,661.0,610.9,605.0,620.0,513.0,704.0,513.0,534.0,693.0,704.0
5.5584927,670.0,615.5,609.0,624.0,515.0,716.0,515.0,536.0,702.0,716.0
5.7643623,671.0,621.7,620.0,628.0,519.0,724.0,519.0,539.0,711.0,724.0
5.9702325,677.0,625.5,623.0,630.0,526.0,733.0,526.0,541.0,717.0,733.0
6.1761026,682.0,629.6,626.0,632.0,528.0,742.0,528.0,542.0,717.0,742.0
6.381973,683.0,632.8,630.0,635.0,532.0,747.0,532.0,549.0,718.0,747.0
6.587843,685.0,635.9,633.0,636.0,538.0,751.0,538.0,550.0,719.0,751.0
6.793713,685.0,639.3,638.0,639.0,541.0,754.0,541.0,557.0,722.0,754.0
6.9995832,687.0,643.2,639.0,642.0,544.0,756.0,544.0,565.0,724.0,756.0
7.2054534,687.0,645.6,643.0,644.0,546.0,759.0,546.0,565.0,724.0,759.0
7.411323,690.0,648.8,647.0,650.0,549.0,762.0,549.0,568.0,725.0,762.0
7.617193,692.0,652.5,650.0,653.0,554.0,765.0,554.0,571.0,729.0,765.0
7.8230634,696.0,654.9,650.0,657.0,557.0,767.0,557.0,573.0,731.0,767.0
8.028934,696.0,657.5,650.0,661.0,560.0,769.0,560.0,582.0,733.0,769.0
8.234803,699.0,660.2,654.0,664.0,561.0,771.0,561.0,589.0,734.0,771.0
8.440674,700.0,662.7,656.0,665.0,564.0,777.0,564.0,595.0,735.0,777.0
8.6465435,700.0,665.3,658.0,666.0,569.0,779.0,569.0,599.0,740.0,779.0
8.852414,704.0,667.5,659.0,669.0,569.0,782.0,569.0,603.0,743.0,782.0
9.058284,705.0,669.3,659.0,671.0,571.0,784.0,571.0,609.0,746.0,784.0
9.264154,708.0,672.0,663.0,675.0,572.0,786.0,572.0,609.0,752.0,786.0
9.470024,709.0,674.7,664.0,676.0,574.0,789.0,574.0,612.0,754.0,789.0
9.675894,711.0,677.0,664.0,679.0,578.0,790.0,578.0,614.0,756.0,790.0
9.881764,713.0,679.6,665.0,682.0,581.0,793.0,581.0,617.0,761.0,793.0
10.087634,716.0,681.4,667.0,685.0,582.0,794.0,582.0,619.0,762.0,794.0
10.293505,717.0,683.7,668.0,688.0,584.0,796.0,584.0,621.0,762.0,796.0
10.499374,720.0,686.7,670.0,690.0,584.0,800.0,584.0,624.0,763.0,800.0
10.705245,720.0,688.8,670.0,691.0,587.0,803.0,587.0,625.0,766.0,803.0
10.911115,724.0,691.1,671.0,693.0,587.0,807.0,587.0,625.0,772.0,807.0
11.116985,731.0,693.2,671.0,694.0,589.0,808.0,589.0,625.0,773.0,808.0
11.322855,731.0,694.1,672.0,694.0,590.0,808.0,590.0,628.0,773.0,808.0
11.528725,736.0,695.9,672.0,672.0,592.0,810.0,592.0,628.0,775.0,810.0
11.734595,738.0,697.4,673.0,673.0,593.0,811.0,593.0,629.0,776.0,811.0
11.940465,741.0,699.8,674.0,674.0,593.0,818.0,593.0,631.0,778.0,818.0
12.146336,748.0,702.0,685.0,701.0,594.0,821.0,594.0,632.0,779.0,821.0
12.352205,749.0,703.4,688.0,704.0,595.0,822.0,595.0,634.0,780.0,822.0
12.558076,749.0,705.2,690.0,704.0,600.0,822.0,600.0,636.0,780.0,822.0
12.763946,749.0,706.8,691.0,704.0,601.0,822.0,601.0,639.0,780.0,822.0
12.969815,751.0,708.5,691.0,704.0,601.0,827.0,601.0,642.0,783.0,827.0
13.175686,752.0,709.8,692.0,706.0,602.0,830.0,602.0,642.0,785.0,830.0
13.381556,754.0,712.3,695.0,707.0,608.0,831.0,608.0,643.0,788.0,831.0
13.587426,758.0,714.8,701.0,710.0,612.0,834.0,612.0,644.0,788.0,834.0
13.793296,758.0,716.0,702.0,710.0,614.0,838.0,614.0,646.0,788.0,838.0
13.9991665,760.0,717.5,704.0,710.0,614.0,840.0,614.0,651.0,792.0,840.0
14.205036,760.0,718.8,706.0,710.0,615.0,841.0,615.0,653.0,793.0,841.0
14.410907,760.0,719.7,706.0,712.0,616.0,842.0,616.0,654.0,795.0,842.0
14.616776,761.0,722.0,708.0,713.0,621.0,842.0,621.0,656.0,797.0,842.0
14.822646,763.0,723.7,709.0,714.0,621.0,846.0,621.0,657.0,798.0,846.0
15.028517,765.0,725.1,709.0,718.0,621.0,847.0,621.0,657.0,799.0,847.0
15.234386,767.0,727.4,711.0,721.0,625.0,852.0,625.0,658.0,800.0,852.0
15.440257,769.0,728.4,713.0,723.0,626.0,853.0,626.0,658.0,801.0,853.0
15.646127,770.0,730.2,713.0,724.0,627.0,855.0,627.0,660.0,802.0,855.0
15.851997,770.0,731.2,714.0,725.0,628.0,856.0,628.0,661.0,802.0,856.0
16.057867,770.0,733.6,714.0,733.0,631.0,857.0,631.0,662.0,805.0,857.0
16.263737,770.0,734.8,716.0,734.0,633.0,858.0,633.0,662.0,807.0,858.0
