Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,3.5635266E-4,3.588903E-4,0.0
6.1,3.5635266E-4,3.588903E-4,0.0
6.2,3.5635266E-4,3.588903E-4,0.0
6.3,2.2056856E-4,2.2249376E-4,0.0
6.4,2.2056856E-4,2.2249376E-4,0.0
6.5,1.6454936E-4,1.6626067E-4,0.0
6.6,1.6454936E-4,1.6626067E-4,0.0
6.7,1.6454936E-4,1.6626067E-4,0.0
6.8,1.6454936E-4,1.6626067E-4,0.0
6.9,1.5862122E-4,1.602909E-4,0.0
7.0,1.2351504E-4,1.2485615E-4,0.0
7.1,8.5159016E-5,8.611386E-5,0.0
7.2,6.0127335E-5,6.0787082E-5,0.0
7.3,4.0582654E-5,4.1001127E-5,0.0
7.4,2.405375E-5,2.426274E-5,0.0
7.5,1.2230132E-5,1.23137725E-5,0.0
7.6,8.713663E-6,8.771669E-6,0.0
7.7,3.8644166E-6,3.8881594E-6,0.0
7.8,6.360267E-7,6.4004877E-7,0.0
