Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.079865426,0.13982801,0.1
6.1,0.06843361,0.11964578,0.1
6.2,0.058084648,0.10077828,0.1
6.3,0.044339992,0.07529071,0.1
6.4,0.04343345,0.07395155,0.1
6.5,0.042916555,0.0731462,0.1
6.6,0.04185927,0.07147921,0.1
6.7,0.040946912,0.069949426,0.1
6.8,0.036469642,0.06104272,0.1
6.9,0.02947844,0.047294028,0.1
7.0,0.025115121,0.039604977,0.1
7.1,0.022186412,0.03475549,0.1
7.2,0.016668037,0.025768256,0.0
7.3,0.012319452,0.018861158,0.0
7.4,0.008312687,0.01293929,0.0
7.5,0.007182234,0.011670894,0.0
7.6,0.004590199,0.0076111043,0.0
7.7,0.0021033096,0.0033836507,0.0
7.8,0.0017793609,0.0029852185,0.0
7.9,0.0012901047,0.0023348713,0.0
8.0,7.944594E-4,0.0014633153,0.0
8.1,5.271009E-4,9.1146183E-4,0.0
