Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.02111873,0.025905324,0.1
6.1,0.02111873,0.025905324,0.1
6.2,0.02111873,0.025905324,0.1
6.3,0.01257003,0.015451803,0.1
6.4,0.01257003,0.015451803,0.1
6.5,0.010529719,0.013017288,0.1
6.6,0.010520565,0.013007515,0.1
6.7,0.009347493,0.011596996,0.1
6.8,0.009068459,0.011239818,0.1
6.9,0.008018291,0.009798828,0.1
7.0,0.0076319184,0.009288439,0.1
7.1,0.0068324856,0.008347813,0.1
7.2,0.0057893298,0.0071444246,0.0
7.3,0.0051047057,0.006273693,0.0
7.4,0.0041356985,0.0050459225,0.0
7.5,0.0024557032,0.0029756874,0.0
7.6,1.1539775E-4,1.3560079E-4,0.0
