Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.03854755,0.04731706,0.1
6.1,0.021578677,0.025735425,0.1
6.2,0.021578677,0.025735425,0.1
6.3,0.016452603,0.019301698,0.1
6.4,0.015469253,0.018100347,0.1
6.5,0.012709012,0.01476589,0.1
6.6,0.011061605,0.012801537,0.1
6.7,0.0096509475,0.0111317625,0.1
6.8,0.008242928,0.009486687,0.1
6.9,0.006771452,0.0077820993,0.0
7.0,0.0057099373,0.0065617966,0.0
7.1,0.0045636636,0.0052466127,0.0
7.2,4.1869894E-4,4.3300688E-4,0.0
7.3,1.9457124E-4,1.9239853E-4,0.0
7.4,1.0725793E-4,1.0231671E-4,0.0
7.5,3.5717923E-5,3.2652853E-5,0.0
7.6,3.181591E-6,2.8842164E-6,0.0
