Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.02000288,0.024114667,0.0
6.1,0.02000288,0.024114667,0.0
6.2,0.02000288,0.024114667,0.0
6.3,0.014687235,0.017225735,0.0
6.4,0.014687235,0.017225735,0.0
6.5,0.012676105,0.014691037,0.0
6.6,0.011051672,0.012684023,0.0
6.7,0.009844234,0.011216453,0.0
6.8,0.008671708,0.009805129,0.0
6.9,0.007540013,0.008459245,0.0
7.0,0.006729651,0.007509574,0.0
7.1,0.006524288,0.0072733937,0.0
7.2,0.006495651,0.0072412225,0.0
7.3,0.0064328653,0.007171289,0.0
7.4,0.006325751,0.00705189,0.0
7.5,0.0060904534,0.0067930394,0.0
7.6,0.0053701443,0.0059865303,0.0
7.7,0.0046527605,0.0051839915,0.0
7.8,1.6215823E-4,1.7086728E-4,0.0
7.9,1.3353102E-6,1.389876E-6,0.0
