Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0055759475,0.0045207785,0.0
6.1,0.0055759475,0.0045207785,0.0
6.2,0.0055759475,0.0045207785,0.0
6.3,0.0037131102,0.0024990544,0.0
6.4,0.0037131102,0.0024990544,0.0
6.5,0.0037131102,0.0024990544,0.0
6.6,0.0037131102,0.0024990544,0.0
6.7,0.003709649,0.0024977168,0.0
6.8,0.0035189227,0.0023408877,0.0
6.9,0.003474293,0.0023119643,0.0
7.0,0.0032912986,0.0021033946,0.0
7.1,0.0032552136,0.0020700989,0.0
7.2,0.0031472554,0.0019863788,0.0
7.3,0.00248537,0.0015808747,0.0
7.4,0.0018519156,0.0011256344,0.0
7.5,0.0014147845,8.190885E-4,0.0
7.6,9.988978E-4,6.0416904E-4,0.0
7.7,6.322281E-4,3.6938838E-4,0.0
7.8,3.272304E-4,2.0219943E-4,0.0
7.9,1.0587843E-4,6.154932E-5,0.0
8.0,2.2825214E-5,1.1099401E-5,0.0
