Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.009583955,0.010340294,0.0
6.1,0.009583955,0.010340294,0.0
6.2,0.009583955,0.010340294,0.0
6.3,0.007181826,0.007734837,0.0
6.4,0.007181826,0.007734837,0.0
6.5,0.0058835056,0.0063229185,0.0
6.6,0.005626298,0.006043303,0.0
6.7,0.005570874,0.005982319,0.0
6.8,0.0049154665,0.005255762,0.0
6.9,0.0045293528,0.004829032,0.0
7.0,0.004204433,0.0044646575,0.0
7.1,0.0038210868,0.0040267343,0.0
7.2,0.002696611,0.0027425543,0.0
7.3,0.0018361164,0.0018937074,0.0
7.4,0.001342686,0.0013957135,0.0
7.5,7.115741E-4,7.492492E-4,0.0
7.6,2.780275E-4,2.991457E-4,0.0
7.7,2.190805E-4,2.3923245E-4,0.0
7.8,1.17846146E-4,1.3292239E-4,0.0
7.9,7.601527E-5,9.2047354E-5,0.0
8.0,2.7585504E-5,4.367785E-5,0.0
8.1,1.3850448E-6,2.0977184E-6,0.0
