Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.017003356,0.020610824,0.0
6.1,0.017003356,0.020610824,0.0
6.2,0.01640377,0.019884659,0.0
6.3,0.016232004,0.01967683,0.0
6.4,0.015649348,0.018972289,0.0
6.5,0.01529447,0.018544778,0.0
6.6,0.014167317,0.017181326,0.0
6.7,0.013277191,0.0161524,0.0
6.8,0.0104120495,0.012667948,0.0
6.9,0.008480361,0.010357935,0.0
7.0,0.0063729626,0.0077769193,0.0
7.1,0.004683256,0.00574118,0.0
7.2,0.0031400328,0.0038940688,0.0
7.3,0.0016271701,0.0020386826,0.0
7.4,0.0010562785,0.0013406471,0.0
7.5,8.743095E-4,0.0011160135,0.0
7.6,6.2258187E-4,7.9367345E-4,0.0
7.7,1.5894524E-4,2.0473769E-4,0.0
