Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.008002302,0.0032628858,0.0
6.1,0.008002302,0.0032628858,0.0
6.2,0.008002302,0.0032628858,0.0
6.3,0.008002302,0.0032628858,0.0
6.4,0.008002302,0.0032628858,0.0
6.5,0.005341973,0.0014950787,0.0
6.6,0.003471502,2.7577445E-4,0.0
6.7,0.0034354846,2.7577445E-4,0.0
6.8,0.0024224254,1.192935E-4,0.0
6.9,0.0021593515,9.9086436E-5,0.0
7.0,0.0015992324,7.866636E-5,0.0
7.1,0.00122068,7.521754E-5,0.0
7.2,7.174166E-4,7.135896E-5,0.0
7.3,6.558388E-4,7.0873946E-5,0.0
7.4,5.734978E-4,6.719318E-5,0.0
7.5,2.899098E-4,3.472931E-5,0.0
