Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.01493574,0.014997897,0.0
6.1,0.01493574,0.014997897,0.0
6.2,0.01493574,0.014997897,0.0
6.3,0.011885363,0.011672448,0.0
6.4,0.010482626,0.010158579,0.0
6.5,0.010342481,0.010010524,0.0
6.6,0.009398366,0.009006026,0.0
6.7,0.008707017,0.0082763685,0.0
6.8,0.008003947,0.007539366,0.0
6.9,0.007053386,0.006545983,0.0
7.0,0.006257884,0.005722181,0.0
7.1,0.0057090693,0.0051666074,0.0
7.2,0.00518453,0.00465527,0.0
7.3,0.00452975,0.004030607,0.0
7.4,0.004096119,0.0036005753,0.0
7.5,0.0035616932,0.003061809,0.0
7.6,0.002867472,0.0023543485,0.0
7.7,0.0018842196,0.0013468605,0.0
7.8,0.0010353916,5.6371174E-4,0.0
7.9,6.1649614E-4,2.5453515E-4,0.0
8.0,3.6325134E-4,1.2724145E-4,0.0
8.1,7.843835E-5,3.0841627E-5,0.0
