Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.057117578,0.09618535,0.1
6.1,0.056962132,0.09594834,0.1
6.2,0.038862433,0.063223936,0.0
6.3,0.034799766,0.05621798,0.0
6.4,0.03191742,0.051392578,0.0
6.5,0.027970633,0.044840194,0.0
6.6,0.02437869,0.038919173,0.0
6.7,0.019057442,0.030131768,0.0
6.8,0.010532344,0.014698091,0.0
6.9,0.009281595,0.012464197,0.0
7.0,0.008528882,0.011181609,0.0
7.1,0.00800848,0.010398206,0.0
7.2,0.0075360634,0.009746114,0.0
7.3,0.0070790765,0.009121205,0.0
7.4,0.0063729943,0.008204716,0.0
7.5,0.0056782532,0.0072948607,0.0
7.6,0.00448937,0.0057596434,0.0
7.7,0.0010948193,0.001369733,0.0
7.8,9.615166E-5,1.1205533E-4,0.0
