Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0021396813,0.0021421628,0.0
6.1,0.0021396813,0.0021421628,0.0
6.2,0.0021396813,0.0021421628,0.0
6.3,0.0021396813,0.0021421628,0.0
6.4,0.0021396813,0.0021421628,0.0
6.5,0.0015563103,0.0015486355,0.0
6.6,0.0015563103,0.0015486355,0.0
6.7,0.0013951553,0.0013846984,0.0
6.8,0.001214175,0.0012006809,0.0
6.9,0.0010937268,0.0010782382,0.0
7.0,8.935372E-4,8.746392E-4,0.0
7.1,7.414721E-4,7.198746E-4,0.0
7.2,4.7460053E-4,4.4833787E-4,0.0
7.3,3.2054266E-4,2.932869E-4,0.0
7.4,2.1129279E-4,1.8617442E-4,0.0
7.5,1.0367952E-4,8.247427E-5,0.0
7.6,1.3421517E-5,9.0374915E-6,0.0
