Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,4.730149E-4,5.0925656E-4,0.0
6.1,4.730149E-4,5.0925656E-4,0.0
6.2,4.730149E-4,5.0925656E-4,0.0
6.3,4.730149E-4,5.0925656E-4,0.0
6.4,4.730149E-4,5.0925656E-4,0.0
6.5,4.730149E-4,5.0925656E-4,0.0
6.6,4.730149E-4,5.0925656E-4,0.0
6.7,4.6869842E-4,5.0491205E-4,0.0
6.8,4.4672855E-4,4.797156E-4,0.0
6.9,4.165983E-4,4.4680768E-4,0.0
7.0,3.598806E-4,3.8484513E-4,0.0
7.1,2.9077442E-4,3.104936E-4,0.0
7.2,2.1282726E-4,2.2662518E-4,0.0
7.3,1.3948113E-4,1.4860116E-4,0.0
7.4,8.270864E-5,8.803358E-5,0.0
7.5,5.5702203E-5,5.9230148E-5,0.0
7.6,3.381751E-5,3.5973488E-5,0.0
7.7,6.2525356E-7,6.7096516E-7,0.0
