Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.006008218,0.008043008,0.0
6.1,0.006008218,0.008043008,0.0
6.2,0.006008218,0.008043008,0.0
6.3,0.006008218,0.008043008,0.0
6.4,0.006008218,0.008043008,0.0
6.5,0.006008218,0.008043008,0.0
6.6,0.004790339,0.0067632766,0.0
6.7,0.004695036,0.0066628614,0.0
6.8,0.0045155324,0.006468027,0.0
6.9,0.0036470229,0.0055400636,0.0
7.0,0.0030459496,0.0046310434,0.0
7.1,0.0028901845,0.0044531836,0.0
7.2,0.0022852682,0.0036168254,0.0
7.3,0.0019750162,0.0032268425,0.0
7.4,0.0011463572,0.0022545825,0.0
7.5,0.0010700922,0.0020534466,0.0
7.6,9.770069E-4,0.0018117406,0.0
7.7,9.6024893E-4,0.0017726058,0.0
7.8,8.967699E-4,0.0016238693,0.0
7.9,7.3206134E-4,0.0012862945,0.0
8.0,2.0513899E-4,2.3204018E-4,0.0
8.1,8.331492E-5,4.279372E-5,0.0
8.2,2.556876E-5,9.2307355E-6,0.0
