Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.015599402,0.016901523,0.0
6.1,0.015599402,0.016901523,0.0
6.2,0.015599402,0.016901523,0.0
6.3,0.0088303005,0.009481742,0.0
6.4,0.0088303005,0.009481742,0.0
6.5,0.0066292146,0.0070923846,0.0
6.6,0.0066252467,0.007088292,0.0
6.7,0.005287399,0.005642826,0.0
6.8,0.004347378,0.0046329135,0.0
6.9,0.0027063051,0.0028741783,0.0
7.0,0.0022720827,0.0024110891,0.0
7.1,0.001584897,0.0016783066,0.0
7.2,8.5658056E-4,9.006625E-4,0.0
7.3,1.7513991E-4,1.7117617E-4,0.0
7.4,1.1464794E-4,1.08950975E-4,0.0
7.5,6.2320854E-5,5.5255427E-5,0.0
7.6,2.4189996E-5,1.698328E-5,0.0
7.7,9.699204E-6,3.8948833E-6,0.0
7.8,1.4589199E-6,3.5054973E-7,0.0
