Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.009524435,0.0039005342,0.0
6.1,0.009524435,0.0039005342,0.0
6.2,0.009524435,0.0039005342,0.0
6.3,0.009524435,0.0039005342,0.0
6.4,0.009018354,0.0039005342,0.0
6.5,0.009018354,0.0039005342,0.0
6.6,0.008033488,0.0039005342,0.0
6.7,0.0065210275,0.0032864043,0.0
6.8,0.005950495,0.0032705392,0.0
6.9,0.0058295266,0.0032380768,0.0
7.0,0.0055211177,0.0031500931,0.0
7.1,0.0053428668,0.0030929577,0.0
7.2,0.0051589934,0.0029979239,0.0
7.3,0.00442326,0.0026772432,0.0
7.4,0.0042096223,0.0025684186,0.0
7.5,0.0035533418,0.0021943317,0.0
7.6,0.0023048974,0.0014977794,0.0
7.7,0.0013190953,8.291677E-4,0.0
7.8,6.524452E-4,4.5471362E-4,0.0
7.9,1.1803136E-4,7.585336E-5,0.0
8.0,1.4951038E-6,6.481659E-7,0.0
