Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.02591553,0.03349545,0.0
6.1,0.02591553,0.03349545,0.0
6.2,0.012509781,0.015717195,0.0
6.3,0.009055373,0.011338037,0.0
6.4,0.009055373,0.011338037,0.0
6.5,0.0078909,0.009849312,0.0
6.6,0.0035039932,0.0042781467,0.0
6.7,0.003480947,0.0042435117,0.0
6.8,0.0034261728,0.0041651605,0.0
6.9,0.0033148455,0.003998457,0.0
7.0,0.0031956544,0.0038108686,0.0
7.1,0.0030441214,0.003561214,0.0
7.2,0.0024867293,0.0026509434,0.0
7.3,0.0015899199,0.0013126077,0.0
7.4,0.0014215811,0.0011086933,0.0
7.5,0.001360437,0.0010379145,0.0
7.6,0.001199845,8.8926277E-4,0.0
7.7,8.962536E-4,6.213976E-4,0.0
7.8,4.414008E-4,3.8323054E-4,0.0
7.9,1.4174548E-4,1.7161007E-4,0.0
8.0,1.14768345E-5,1.555214E-5,0.0
