Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0077192914,0.008637098,0.0
6.1,0.0077192914,0.008637098,0.0
6.2,0.0077192914,0.008637098,0.0
6.3,0.0054258266,0.0061571053,0.0
6.4,0.0054258266,0.0061571053,0.0
6.5,0.0048150513,0.0055015464,0.0
6.6,0.0041158604,0.0047466494,0.0
6.7,0.003753043,0.004357451,0.0
6.8,0.003487206,0.004064943,0.0
6.9,0.0031477278,0.0036964908,0.0
7.0,0.0021547892,0.0026337337,0.0
7.1,0.0019638946,0.0024014674,0.0
7.2,0.0017759053,0.002155356,0.0
7.3,0.0015607453,0.0018825663,0.0
7.4,0.0012540985,0.0015006876,0.0
7.5,6.6297496E-4,7.8664336E-4,0.0
7.6,1.1539775E-4,1.3560079E-4,0.0
