Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0020250916,0.0019890137,0.0
6.1,0.0020250916,0.0019890137,0.0
6.2,0.0020250916,0.0019890137,0.0
6.3,0.0020250916,0.0019890137,0.0
6.4,0.0020250916,0.0019890137,0.0
6.5,8.1301836E-4,7.4147154E-4,0.0
6.6,8.1301836E-4,7.4147154E-4,0.0
6.7,7.833416E-4,7.105805E-4,0.0
6.8,7.6069974E-4,6.86881E-4,0.0
6.9,5.93741E-4,5.061962E-4,0.0
7.0,5.2010687E-4,4.2662636E-4,0.0
7.1,5.05193E-4,4.104071E-4,0.0
7.2,4.8205635E-4,3.8505194E-4,0.0
7.3,4.2561593E-4,3.2574244E-4,0.0
7.4,3.3296304E-4,2.4591692E-4,0.0
7.5,2.1021912E-4,1.4265403E-4,0.0
7.6,1.916332E-4,1.2730532E-4,0.0
7.7,1.485248E-4,9.1566195E-5,0.0
