Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0042443196,0.004073749,0.0
6.1,0.0042443196,0.004073749,0.0
6.2,0.0042443196,0.004073749,0.0
6.3,0.0042443196,0.004073749,0.0
6.4,0.0042443196,0.004073749,0.0
6.5,0.0042443196,0.004073749,0.0
6.6,0.0042443196,0.004073749,0.0
6.7,0.0042443196,0.004073749,0.0
6.8,0.0042443196,0.004073749,0.0
6.9,0.0042443196,0.004073749,0.0
7.0,0.0042193993,0.004047543,0.0
7.1,0.00408937,0.0039105746,0.0
7.2,0.0040466557,0.0038651405,0.0
7.3,0.0038509427,0.0036559661,0.0
7.4,0.0036274698,0.003418061,0.0
7.5,0.0034651754,0.0032464853,0.0
7.6,0.0029246826,0.0026723195,0.0
7.7,0.0023425296,0.0020733376,0.0
7.8,0.0013596788,0.0011323032,0.0
7.9,2.1109142E-4,1.6821834E-4,0.0
8.0,4.065434E-6,2.9312353E-6,0.0
