Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.007877788,0.008165411,0.0
6.1,0.007877788,0.008165411,0.0
6.2,0.007877788,0.008165411,0.0
6.3,0.007877788,0.008165411,0.0
6.4,0.007248361,0.007467668,0.0
6.5,0.007248361,0.007467668,0.0
6.6,0.005485909,0.005515786,0.0
6.7,0.005485909,0.005515786,0.0
6.8,0.0052453685,0.005260065,0.0
6.9,0.0040209293,0.0039029338,0.0
7.0,0.0037173668,0.003573054,0.0
7.1,0.0029463451,0.002738406,0.0
7.2,0.0025721465,0.0023379333,0.0
7.3,0.0022082955,0.0019640184,0.0
7.4,0.0018245826,0.0015690804,0.0
7.5,0.0014276401,0.0011851541,0.0
7.6,9.4849075E-4,7.410437E-4,0.0
7.7,5.5608735E-4,3.897643E-4,0.0
7.8,3.6067693E-4,2.1785349E-4,0.0
7.9,3.8742884E-5,2.709017E-5,0.0
