Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0053840056,0.0056924373,0.0
6.1,0.0053840056,0.0056924373,0.0
6.2,0.0053840056,0.0056924373,0.0
6.3,0.001671074,0.0016755111,0.0
6.4,0.001671074,0.0016755111,0.0
6.5,0.001671074,0.0016755111,0.0
6.6,0.0010160941,9.4645267E-4,0.0
6.7,0.0010160941,9.4645267E-4,0.0
6.8,5.8830855E-4,4.669244E-4,0.0
6.9,5.8830855E-4,4.669244E-4,0.0
7.0,5.8830855E-4,4.669244E-4,0.0
7.1,5.500792E-4,4.4308093E-4,0.0
7.2,5.500792E-4,4.4308093E-4,0.0
7.3,4.9595343E-5,3.0408582E-5,0.0
7.4,2.062117E-5,1.3849779E-5,0.0
7.5,2.9289467E-6,1.9185736E-6,0.0
7.6,2.1426758E-6,1.3299006E-6,0.0
7.7,7.106588E-7,3.2387197E-7,0.0
7.8,7.106588E-7,3.2387197E-7,0.0
