Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.012175002,0.009318695,0.0
6.1,0.012175002,0.009318695,0.0
6.2,0.012175002,0.009318695,0.0
6.3,0.012175002,0.009318695,0.0
6.4,0.012175002,0.009318695,0.0
6.5,0.012175002,0.009318695,0.0
6.6,0.012175002,0.009318695,0.0
6.7,0.012175002,0.009318695,0.0
6.8,0.012054204,0.009199954,0.0
6.9,0.011806256,0.008941221,0.0
7.0,0.011621549,0.008753875,0.0
7.1,0.011347309,0.008508573,0.0
7.2,0.010750249,0.007986919,0.0
7.3,0.009559342,0.0071886224,0.0
7.4,0.00875714,0.0066038272,0.0
7.5,0.006668452,0.0049308036,0.0
7.6,0.0029319301,0.0019877055,0.0
7.7,0.0018381984,0.0012077129,0.0
7.8,7.733494E-4,5.4590666E-4,0.0
7.9,1.4383643E-4,8.73418E-5,0.0
8.0,2.8216898E-5,1.3631389E-5,0.0
