Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.02589687,0.02164939,0.0
6.1,0.02589687,0.02164939,0.0
6.2,0.022186736,0.01730384,0.0
6.3,0.022186736,0.01730384,0.0
6.4,0.02121817,0.016236193,0.0
6.5,0.021183075,0.016194552,0.0
6.6,0.020714961,0.015701137,0.0
6.7,0.019931622,0.014784234,0.0
6.8,0.017807078,0.012245132,0.0
6.9,0.01666756,0.010884423,0.0
7.0,0.015114053,0.009033301,0.0
7.1,0.013907375,0.0075721443,0.0
7.2,0.012718005,0.0062037823,0.0
7.3,0.012099981,0.0056346045,0.0
7.4,0.011484168,0.0050645564,0.0
7.5,0.010895205,0.0045887115,0.0
7.6,0.008878695,0.0033399283,0.0
7.7,0.006642225,0.0019208523,0.0
7.8,0.0036676454,8.988989E-4,0.0
7.9,0.0015364023,4.5212102E-4,0.0
8.0,5.963996E-4,2.278865E-4,0.0
8.1,1.391782E-4,6.91276E-5,0.0
8.2,6.629041E-6,3.590362E-6,0.0
