Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.032346968,0.019851096,0.0
6.1,0.032346968,0.019851096,0.0
6.2,0.032346968,0.019851096,0.0
6.3,0.032346968,0.019851096,0.0
6.4,0.032346968,0.019851096,0.0
6.5,0.02986684,0.018312527,0.0
6.6,0.02986684,0.018312527,0.0
6.7,0.029367693,0.01803917,0.0
6.8,0.029288229,0.017970104,0.0
6.9,0.028905109,0.017833067,0.0
7.0,0.027978465,0.017297849,0.0
7.1,0.026460782,0.016584631,0.0
7.2,0.024660049,0.015821747,0.0
7.3,0.02175019,0.01541098,0.0
7.4,0.020790804,0.015244081,0.0
7.5,0.01909306,0.014630567,0.0
7.6,0.01656168,0.013323335,0.0
7.7,0.014152412,0.011640831,0.0
7.8,0.012169928,0.010398437,0.0
7.9,0.0096645225,0.008233458,0.0
8.0,0.008034821,0.006789063,0.0
8.1,0.0051959283,0.003521843,0.0
8.2,0.0021488064,6.1107485E-4,0.0
8.3,6.6510175E-4,1.3694573E-4,0.0
