Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.01418221,0.011254267,0.0
6.1,0.01418221,0.011254267,0.0
6.2,0.01418221,0.011254267,0.0
6.3,0.01418221,0.011254267,0.0
6.4,0.01418221,0.011254267,0.0
6.5,0.014134934,0.011196211,0.0
6.6,0.014134934,0.011196211,0.0
6.7,0.014100855,0.011158115,0.0
6.8,0.014030075,0.011116491,0.0
6.9,0.013980856,0.011076115,0.0
7.0,0.0137065975,0.010862321,0.0
7.1,0.013607717,0.010775124,0.0
7.2,0.013099162,0.010374631,0.0
7.3,0.012134149,0.009743407,0.0
7.4,0.011910575,0.00960977,0.0
7.5,0.011511209,0.0093749985,0.0
7.6,0.010388365,0.008675611,0.0
7.7,0.008950562,0.007570559,0.0
7.8,0.0075264242,0.0067107775,0.0
7.9,0.0057826187,0.005118652,0.0
8.0,0.0048551033,0.0043071993,0.0
8.1,0.003658111,0.0029432292,0.0
8.2,0.001061699,3.6216364E-4,0.0
8.3,1.0461917E-4,2.5782812E-5,0.0
