Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.03294174,0.047222074,0.1
6.1,0.03294174,0.047222074,0.1
6.2,0.029316625,0.040976647,0.1
6.3,0.029274331,0.04090066,0.1
6.4,0.02787096,0.03820531,0.1
6.5,0.022570757,0.027778013,0.0
6.6,0.014360986,0.012193771,0.0
6.7,0.014053487,0.0117979795,0.0
6.8,0.0132051185,0.010531908,0.0
6.9,0.010981417,0.008286557,0.0
7.0,0.009738087,0.007575047,0.0
7.1,0.009698939,0.0075377915,0.0
7.2,0.009247236,0.0071863537,0.0
7.3,0.00861587,0.0067591234,0.0
7.4,0.008514405,0.006691339,0.0
7.5,0.008205604,0.006514473,0.0
7.6,0.007407237,0.0060294187,0.0
7.7,0.006005941,0.00495522,0.0
7.8,0.0047573727,0.0042673647,0.0
7.9,0.0036318225,0.0032484562,0.0
8.0,0.0030029714,0.002722493,0.0
8.1,0.0026640517,0.0023758665,0.0
8.2,5.777599E-4,2.1698378E-4,0.0
8.3,7.0881174E-6,1.7181866E-6,0.0
