Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.015102667,0.016297236,0.0
6.1,0.015102667,0.016297236,0.0
6.2,0.015102667,0.016297236,0.0
6.3,0.008642701,0.009215298,0.0
6.4,0.008642701,0.009215298,0.0
6.5,0.0063656955,0.006759716,0.0
6.6,0.005458487,0.005785424,0.0
6.7,0.0045288634,0.004792507,0.0
6.8,0.004325492,0.00457525,0.0
6.9,0.004203596,0.0044448725,0.0
7.0,0.003966579,0.0041911514,0.0
7.1,0.003709526,0.003917299,0.0
7.2,0.0033552512,0.0035448866,0.0
7.3,0.002862736,0.0030227054,0.0
7.4,0.0021267622,0.002240741,0.0
7.5,0.0012298629,0.0012872557,0.0
7.6,4.954795E-4,5.1322114E-4,0.0
7.7,1.357257E-4,1.3759277E-4,0.0
7.8,2.1665488E-5,2.0665782E-5,0.0
7.9,4.030379E-7,3.096467E-7,0.0
