Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0042812387,0.0031527658,0.0
6.1,0.0042812387,0.0031527658,0.0
6.2,0.0042812387,0.0031527658,0.0
6.3,0.0042812387,0.0031527658,0.0
6.4,0.0030331176,0.0018490903,0.0
6.5,0.0030041158,0.0018189128,0.0
6.6,0.0024200242,0.0012123423,0.0
6.7,0.002060454,8.563896E-4,0.0
6.8,0.0017921652,6.359266E-4,0.0
6.9,0.0016353652,5.2090874E-4,0.0
7.0,0.0014754693,3.8532965E-4,0.0
7.1,0.001256249,2.812384E-4,0.0
7.2,7.2374323E-4,5.5245506E-5,0.0
7.3,3.681084E-4,2.5639916E-5,0.0
7.4,3.095951E-5,2.4977962E-6,0.0
