Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,1532.2,1383.0,1688.0,1529.0,1591.0,1.0,0.0,1137.3
2.6,1220.4,1099.0,1348.0,1230.0,1099.0,1.0,0.0,904.4
2.7,973.6,863.0,1073.0,984.0,985.0,1.0,0.0,720.7
2.8,767.9,667.0,848.0,786.0,790.0,1.0,0.0,568.3
2.9,612.6,533.0,699.0,619.0,620.0,1.0,0.0,451.9
3.0,485.1,409.0,561.0,497.0,498.0,1.0,0.0,356.3
3.1,382.6,324.0,427.0,387.0,391.0,1.0,0.0,283.3
3.2,302.4,248.0,338.0,310.0,320.0,1.0,0.0,224.1
3.3,243.3,196.0,283.0,252.0,253.0,1.0,0.0,179.3
3.4,197.1,150.0,237.0,198.0,210.0,1.0,0.0,146.1
3.5,155.0,117.0,189.0,153.0,160.0,1.0,0.0,116.5
3.6,124.7,98.0,155.0,125.0,126.0,1.0,0.0,93.9
3.7,99.9,80.0,120.0,95.0,95.0,1.0,0.0,74.9
3.8,77.8,54.0,93.0,77.0,78.0,1.0,0.0,58.5
3.9,61.2,46.0,72.0,60.0,61.0,1.0,0.0,45.9
4.0,47.3,36.0,57.0,46.0,53.0,1.0,0.0,34.7
4.1,37.4,29.0,46.0,37.0,39.0,1.0,0.0,27.4
4.2,29.4,22.0,39.0,28.0,29.0,1.0,0.0,22.0
4.3,23.8,16.0,31.0,22.0,31.0,1.0,0.0,17.8
4.4,19.8,15.0,27.0,18.0,15.0,1.0,0.0,14.9
4.5,15.6,12.0,21.0,15.0,15.0,1.0,0.0,12.1
4.6,11.9,8.0,18.0,11.0,11.0,1.0,0.0,9.1
4.7,9.7,7.0,15.0,8.0,8.0,1.0,0.0,7.5
4.8,7.7,3.0,15.0,6.0,6.0,1.0,0.0,5.8
4.9,5.5,2.0,10.0,5.0,4.0,1.0,0.0,4.1
5.0,4.1,2.0,6.0,4.0,5.0,1.0,0.0,2.7
5.1,3.4,1.0,5.0,4.0,4.0,1.0,0.0,2.3
5.2,2.7,1.0,5.0,2.0,1.0,1.0,0.0,1.9
5.3,1.8,0.0,4.0,2.0,2.0,0.9,0.0,1.0
5.4,1.3,0.0,3.0,1.0,1.0,0.7,0.0,0.7
5.5,1.0,0.0,3.0,1.0,0.0,0.6,0.0,0.5
5.6,0.6,0.0,2.0,0.0,0.0,0.4,0.0,0.4
5.7,0.3,0.0,2.0,0.0,0.0,0.2,0.0,0.1
5.8,0.2,0.0,2.0,0.0,0.0,0.1,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
