Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.004976464,0.0032234902,0.0
6.1,0.004976464,0.0032234902,0.0
6.2,0.0043551093,0.0025749684,0.0
6.3,0.0043551093,0.0025749684,0.0
6.4,0.0040451903,0.0022512947,0.0
6.5,0.0039959005,0.0021990354,0.0
6.6,0.003918452,0.002118364,0.0
6.7,0.003381786,0.0015665872,0.0
6.8,0.0032761577,0.0014555828,0.0
6.9,0.0031760489,0.0013548874,0.0
7.0,0.0029001853,0.0011037741,0.0
7.1,0.0020217493,8.2290615E-4,0.0
7.2,0.0019307317,7.6135114E-4,0.0
7.3,0.0018390282,7.137877E-4,0.0
7.4,0.0017574639,6.815478E-4,0.0
7.5,0.001589997,6.2495965E-4,0.0
7.6,0.0011566412,4.5560274E-4,0.0
7.7,9.137166E-4,3.56277E-4,0.0
7.8,5.9877743E-4,3.182924E-4,0.0
7.9,3.1904536E-4,2.886586E-4,0.0
8.0,2.4270554E-4,2.687005E-4,0.0
8.1,1.4830762E-4,1.5849173E-4,0.0
8.2,2.9145367E-5,2.1464322E-5,0.0
8.3,5.4115542E-8,2.9617862E-8,0.0
