Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.079865426,0.14351042,0.0
6.1,0.06843361,0.12317612,0.0
6.2,0.058084648,0.104193866,0.0
6.3,0.044339992,0.07854721,0.0
6.4,0.04343345,0.077164516,0.0
6.5,0.042916555,0.07634087,0.0
6.6,0.04185927,0.07463615,0.0
6.7,0.040946912,0.0730841,0.0
6.8,0.036469642,0.06397812,0.0
6.9,0.02947844,0.04989188,0.0
7.0,0.025115121,0.041929025,0.0
7.1,0.022186412,0.036910824,0.0
7.2,0.016668037,0.027599674,0.0
7.3,0.012319452,0.020294504,0.0
7.4,0.008312687,0.014079157,0.0
7.5,0.007182234,0.012768699,0.0
7.6,0.004590199,0.00849219,0.0
7.7,0.0021033096,0.0040053623,0.0
7.8,0.0017793609,0.0035272865,0.0
7.9,0.0012901047,0.0027332748,0.0
8.0,7.944594E-4,0.0016973694,0.0
8.1,5.271009E-4,0.0010563878,0.0
