Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.008681616,0.0022130571,0.0
6.1,0.008681616,0.0022130571,0.0
6.2,0.008681616,0.0022130571,0.0
6.3,0.008681616,0.0022130571,0.0
6.4,0.0041566887,0.0019174322,0.0
6.5,0.0041566887,0.0019174322,0.0
6.6,0.0036712566,0.0017832752,0.0
6.7,0.0036392517,0.0017509891,0.0
6.8,0.0033202237,0.0016237622,0.0
6.9,0.003184194,0.0015275581,0.0
7.0,0.0028730053,0.0013760214,0.0
7.1,0.0025093083,0.0011116791,0.0
7.2,0.0019903728,6.737819E-4,0.0
7.3,0.0014165172,3.8434597E-4,0.0
7.4,0.0010895962,2.8426707E-4,0.0
7.5,6.093505E-4,1.8752349E-4,0.0
7.6,6.863536E-5,3.6999085E-5,0.0
