Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0031369338,0.003257556,0.0
6.1,0.0031369338,0.003257556,0.0
6.2,0.0031369338,0.003257556,0.0
6.3,0.0031369338,0.003257556,0.0
6.4,0.0031369338,0.003257556,0.0
6.5,0.0031369338,0.003257556,0.0
6.6,0.0031369338,0.003257556,0.0
6.7,0.0027685766,0.0028780915,0.0
6.8,0.0027685766,0.0028780915,0.0
6.9,0.0024724922,0.0025733113,0.0
7.0,0.002460954,0.0025613676,0.0
7.1,0.002403158,0.0025015029,0.0
7.2,0.002107878,0.0021948004,0.0
7.3,0.0011072971,0.0011621931,0.0
7.4,9.93607E-4,0.0010432634,0.0
7.5,6.4724847E-4,6.7975855E-4,0.0
7.6,3.4139853E-4,3.590796E-4,0.0
7.7,2.0796029E-4,2.1864749E-4,0.0
7.8,1.933891E-5,2.0127789E-5,0.0
