Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.005937509,0.006582693,0.0
6.1,0.005937509,0.006582693,0.0
6.2,0.005937509,0.006582693,0.0
6.3,0.0044454746,0.00495697,0.0
6.4,0.0044454746,0.00495697,0.0
6.5,0.003748503,0.004203277,0.0
6.6,0.0037373714,0.0041908305,0.0
6.7,0.0032311971,0.0036299424,0.0
6.8,0.0018984007,0.002145366,0.0
6.9,0.0013816995,0.0015618791,0.0
7.0,0.0010797448,0.0012190636,0.0
7.1,6.3177146E-4,7.079666E-4,0.0
7.2,2.063012E-4,2.2020341E-4,0.0
7.3,1.3401502E-4,1.4318014E-4,0.0
7.4,7.734126E-5,8.2455226E-5,0.0
7.5,5.1117782E-5,5.4448665E-5,0.0
7.6,3.196103E-5,3.402794E-5,0.0
