Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0055759475,0.0045581064,0.0
6.1,0.0055759475,0.0045581064,0.0
6.2,0.0055759475,0.0045581064,0.0
6.3,0.0037131102,0.0025290698,0.0
6.4,0.0037131102,0.0025290698,0.0
6.5,0.0037131102,0.0025290698,0.0
6.6,0.0037131102,0.0025290698,0.0
6.7,0.003709649,0.0025277212,0.0
6.8,0.0035189227,0.002369902,0.0
6.9,0.003474293,0.0023405398,0.0
7.0,0.0032912986,0.0021306172,0.0
7.1,0.0032552136,0.0020969496,0.0
7.2,0.0031472554,0.0020117462,0.0
7.3,0.00248537,0.0016005327,0.0
7.4,0.0018519156,0.0011384329,0.0
7.5,0.0014147845,8.279859E-4,0.0
7.6,9.988978E-4,6.107069E-4,0.0
7.7,6.322281E-4,3.735326E-4,0.0
7.8,3.272304E-4,2.0454335E-4,0.0
7.9,1.0587843E-4,6.2434105E-5,0.0
8.0,2.2825214E-5,1.1361816E-5,0.0
