Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0017411702,0.0017600879,0.0
6.1,9.345838E-4,9.449536E-4,0.0
6.2,9.345838E-4,9.449536E-4,0.0
6.3,6.069944E-4,6.141169E-4,0.0
6.4,4.5755E-4,4.6327425E-4,0.0
6.5,3.52316E-4,3.570624E-4,0.0
6.6,2.7406693E-4,2.7809702E-4,0.0
6.7,2.160204E-4,2.1953764E-4,0.0
6.8,1.6546051E-4,1.6850549E-4,0.0
6.9,1.3190156E-4,1.3460215E-4,0.0
7.0,1.0783524E-4,1.1022791E-4,0.0
7.1,8.322964E-5,8.522668E-5,0.0
7.2,5.3696727E-5,5.5115717E-5,0.0
7.3,3.4339595E-5,3.532439E-5,0.0
7.4,1.6238733E-5,1.6727368E-5,0.0
