Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.010991322,0.012436453,0.0
6.1,0.010991322,0.012436453,0.0
6.2,0.010991322,0.012436453,0.0
6.3,0.010991322,0.012436453,0.0
6.4,0.005717147,0.006367942,0.0
6.5,0.005717147,0.006367942,0.0
6.6,0.0054730466,0.0060932217,0.0
6.7,0.004056071,0.0045128483,0.0
6.8,0.0039499826,0.004395958,0.0
6.9,0.0034400085,0.0038280967,0.0
7.0,0.0027981328,0.0031163741,0.0
7.1,0.0023289204,0.002595625,0.0
7.2,0.0014773258,0.0016479655,0.0
7.3,3.6563876E-4,4.0507765E-4,0.0
7.4,1.6238733E-5,1.6727368E-5,0.0
