Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.022083808,0.028253028,0.0
6.1,0.01760369,0.022237614,0.0
6.2,0.01760369,0.022237614,0.0
6.3,0.013452509,0.01673864,0.0
6.4,0.01097266,0.01354229,0.0
6.5,0.010397541,0.012822329,0.0
6.6,0.009552629,0.011772682,0.0
6.7,0.009288026,0.011449086,0.0
6.8,0.0069538904,0.0085521145,0.0
6.9,0.005551645,0.0068197534,0.0
7.0,0.004247444,0.0052201897,0.0
7.1,0.0032021382,0.0039578388,0.0
7.2,0.0024564038,0.0030689794,0.0
7.3,0.0012132627,0.0015311423,0.0
7.4,6.9446466E-4,8.895845E-4,0.0
7.5,5.405776E-4,6.965603E-4,0.0
7.6,4.050734E-4,5.2122754E-4,0.0
7.7,8.8322755E-5,1.1433292E-4,0.0
