Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.057117578,0.09766134,0.1
6.1,0.056962132,0.097420715,0.1
6.2,0.038862433,0.06430467,0.1
6.3,0.034799766,0.057201907,0.1
6.4,0.03191742,0.052307587,0.1
6.5,0.027970633,0.045659687,0.1
6.6,0.02437869,0.039650463,0.1
6.7,0.019057442,0.030730393,0.1
6.8,0.010532344,0.014927732,0.1
6.9,0.009281595,0.012644845,0.0
7.0,0.008528882,0.011332557,0.0
7.1,0.00800848,0.010532711,0.0
7.2,0.0075360634,0.00986759,0.0
7.3,0.0070790765,0.009233634,0.0
7.4,0.0063729943,0.008305505,0.0
7.5,0.0056782532,0.007383696,0.0
7.6,0.00448937,0.0058290754,0.0
7.7,0.0010948193,0.0013843718,0.0
7.8,9.615166E-5,1.12930415E-4,0.0
