Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.0023250172,2.3687713E-5,0.0
6.1,0.0023250172,2.3687713E-5,0.0
6.2,0.0023250172,2.3687713E-5,0.0
6.3,0.0023250172,2.3687713E-5,0.0
6.4,0.0023250172,2.3687713E-5,0.0
6.5,0.0023250172,2.3687713E-5,0.0
6.6,0.0022081244,2.3687713E-5,0.0
6.7,0.0022081244,2.3687713E-5,0.0
6.8,0.0012099637,2.3687713E-5,0.0
6.9,0.0011530985,2.3687713E-5,0.0
7.0,9.5034856E-4,2.3687713E-5,0.0
7.1,6.866045E-4,2.3687713E-5,0.0
7.2,3.5790002E-4,2.3687244E-5,0.0
7.3,3.354475E-4,2.3678886E-5,0.0
7.4,3.0705697E-4,2.3147459E-5,0.0
7.5,1.7925001E-4,1.3168036E-5,0.0
