Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.007690818,0.009719443,0.0
6.1,0.007690818,0.009719443,0.0
6.2,0.007690818,0.009719443,0.0
6.3,0.007690818,0.009719443,0.0
6.4,0.007690818,0.009719443,0.0
6.5,0.007690818,0.009719443,0.0
6.6,0.007687649,0.009715888,0.0
6.7,0.007687649,0.009715888,0.0
6.8,0.007678074,0.009704934,0.0
6.9,0.006526142,0.008195838,0.0
7.0,0.005295345,0.0066444413,0.0
7.1,0.0043725655,0.005476298,0.0
7.2,0.0031387066,0.003969668,0.0
7.3,0.0016735174,0.002145989,0.0
7.4,0.0011494348,0.0014913279,0.0
7.5,9.841E-4,0.0012814172,0.0
7.6,6.787415E-4,8.815498E-4,0.0
7.7,1.8800174E-4,2.446867E-4,0.0
