Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.037828278,0.0656978,0.1
6.1,0.037469655,0.06520396,0.1
6.2,0.0365612,0.063726045,0.1
6.3,0.035492823,0.06205848,0.0
6.4,0.034234364,0.060013942,0.0
6.5,0.03371918,0.059280306,0.0
6.6,0.032286562,0.057025574,0.0
6.7,0.031405866,0.055648137,0.0
6.8,0.030434765,0.05402027,0.0
6.9,0.027799325,0.049580682,0.0
7.0,0.024867928,0.04426084,0.0
7.1,0.02080602,0.037549596,0.0
7.2,0.01602694,0.029104747,0.0
7.3,0.0122466255,0.022352973,0.0
7.4,0.009478063,0.01722926,0.0
7.5,0.006455223,0.011579545,0.0
7.6,0.0023333887,0.0041843127,0.0
7.7,1.1259195E-4,1.8532827E-4,0.0
7.8,5.198066E-5,1.0500327E-4,0.0
7.9,2.9608427E-5,6.2260864E-5,0.0
8.0,1.4930434E-5,3.4562803E-5,0.0
8.1,1.8286064E-6,4.674997E-6,0.0
