Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.1496549,0.2840013,0.3
6.1,0.1496549,0.2840013,0.3
6.2,0.1496549,0.2840013,0.3
6.3,0.1496549,0.2840013,0.3
6.4,0.098504856,0.19419123,0.3
6.5,0.065152965,0.13516365,0.1
6.6,0.065152965,0.13516365,0.1
6.7,0.054797906,0.116284,0.1
6.8,0.053930566,0.11423357,0.1
6.9,0.05279156,0.111531906,0.1
7.0,0.05161361,0.10879469,0.1
7.1,0.05027629,0.10568196,0.0
7.2,0.049064007,0.102875024,0.0
7.3,0.046464786,0.09511183,0.0
7.4,0.045316286,0.09176588,0.0
7.5,0.04425787,0.088748135,0.0
7.6,0.04315024,0.08593301,0.0
7.7,0.042181134,0.0837078,0.0
7.8,0.03810269,0.07575892,0.0
7.9,0.027066574,0.05039404,0.0
8.0,0.017481409,0.027737012,0.0
8.1,0.009693642,0.0102461185,0.0
8.2,0.0044469717,0.003019402,0.0
8.3,0.0010342124,4.3275798E-4,0.0
