Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.085237645,0.0948813,0.0
6.1,0.085237645,0.0948813,0.0
6.2,0.08160117,0.09097087,0.0
6.3,0.075787395,0.083712734,0.0
6.4,0.0755203,0.08319299,0.0
6.5,0.064419635,0.068659864,0.0
6.6,0.05609626,0.058045007,0.0
6.7,0.052778035,0.053599946,0.0
6.8,0.051321987,0.051324733,0.0
6.9,0.049853306,0.048675142,0.0
7.0,0.048185747,0.04588498,0.0
7.1,0.04637333,0.04276954,0.0
7.2,0.045121472,0.040940437,0.0
7.3,0.040525194,0.031843122,0.0
7.4,0.0331872,0.020057356,0.0
7.5,0.02539953,0.0070600975,0.0
7.6,0.023780935,0.005787968,0.0
7.7,0.020366974,0.0032405655,0.0
7.8,0.014394675,0.00217705,0.0
7.9,0.008265611,0.0017440745,0.0
8.0,0.0047856434,0.0014807197,0.0
8.1,0.0029185633,0.0012834845,0.0
8.2,0.0022676561,0.0010631367,0.0
8.3,0.001020786,4.2547143E-4,0.0
