Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.02589687,0.022145784,0.0
6.1,0.02589687,0.022145784,0.0
6.2,0.022186736,0.017751174,0.0
6.3,0.022186736,0.017751174,0.0
6.4,0.02121817,0.016669959,0.0
6.5,0.021183075,0.016627993,0.0
6.6,0.020714961,0.016127482,0.0
6.7,0.019931622,0.015198941,0.0
6.8,0.017807078,0.01263089,0.0
6.9,0.01666756,0.011256007,0.0
7.0,0.015114053,0.009385112,0.0
7.1,0.013907375,0.00790795,0.0
7.2,0.012718005,0.0065221596,0.0
7.3,0.012099981,0.0059444867,0.0
7.4,0.011484168,0.005366655,0.0
7.5,0.010895205,0.0048805987,0.0
7.6,0.008878695,0.0035760945,0.0
7.7,0.006642225,0.0020879535,0.0
7.8,0.0036676454,0.0010076356,0.0
7.9,0.0015364023,5.1654596E-4,0.0
8.0,5.963996E-4,2.6422E-4,0.0
8.1,1.391782E-4,8.2655744E-5,0.0
8.2,6.629041E-6,4.7790904E-6,0.0
