Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.03294174,0.0484613,0.0
6.1,0.03294174,0.0484613,0.0
6.2,0.029316625,0.0421557,0.0
6.3,0.029274331,0.042079095,0.0
6.4,0.02787096,0.039370406,0.0
6.5,0.022570757,0.028896803,0.0
6.6,0.014360986,0.013241006,0.0
6.7,0.014053487,0.012838225,0.0
6.8,0.0132051185,0.011540913,0.0
6.9,0.010981417,0.009204259,0.0
7.0,0.009738087,0.008445815,0.0
7.1,0.009698939,0.008407346,0.0
7.2,0.009247236,0.008043003,0.0
7.3,0.00861587,0.007602468,0.0
7.4,0.008514405,0.007532303,0.0
7.5,0.008205604,0.007345036,0.0
7.6,0.007407237,0.0068331445,0.0
7.7,0.006005941,0.0057144673,0.0
7.8,0.0047573727,0.0049899383,0.0
7.9,0.0036318225,0.0038858096,0.0
8.0,0.0030029714,0.0033016982,0.0
8.1,0.0026640517,0.0029023462,0.0
8.2,5.777599E-4,2.925337E-4,0.0
8.3,7.0881174E-6,2.4191015E-6,0.0
