Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.005757478,0.0059687714,0.0
6.1,0.005757478,0.0059687714,0.0
6.2,0.005757478,0.0059687714,0.0
6.3,0.005757478,0.0059687714,0.0
6.4,0.005757478,0.0059687714,0.0
6.5,0.0042609703,0.0043364726,0.0
6.6,0.0042457907,0.004319974,0.0
6.7,0.0042232145,0.00429578,0.0
6.8,0.00398062,0.0040330747,0.0
6.9,0.0038381014,0.0038797006,0.0
7.0,0.0037549543,0.0037913464,0.0
7.1,0.0029195412,0.002875976,0.0
7.2,0.0024745662,0.002390988,0.0
7.3,0.0019959346,0.0018931287,0.0
7.4,0.001361329,0.0013024292,0.0
7.5,9.3467993E-4,9.163833E-4,0.0
7.6,5.984669E-4,5.7484437E-4,0.0
7.7,2.7812112E-4,2.4730258E-4,0.0
7.8,6.08831E-5,4.3152777E-5,0.0
7.9,4.1781706E-7,3.2131297E-7,0.0
