Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.021239553,0.024257151,0.0
6.1,0.01092941,0.012361273,0.0
6.2,0.01092941,0.012361273,0.0
6.3,0.007878214,0.008859277,0.0
6.4,0.006419184,0.0071938965,0.0
6.5,0.004716845,0.005259183,0.0
6.6,0.003929756,0.0043690694,0.0
6.7,0.0028669522,0.0031680765,0.0
6.8,0.0019470629,0.0021264327,0.0
6.9,0.0012808773,0.0013699621,0.0
7.0,0.0012121652,0.0012937139,0.0
7.1,0.0011602144,0.0012366945,0.0
7.2,0.0011134144,0.0011861353,0.0
7.3,0.0010322682,0.0010989386,0.0
7.4,8.840988E-4,9.4051735E-4,0.0
7.5,4.688299E-4,4.959018E-4,0.0
7.6,2.023439E-4,2.1134868E-4,0.0
7.7,3.225525E-5,3.306281E-5,0.0
7.8,7.1507833E-7,7.2848525E-7,0.0
