Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.019495348,0.02295486,0.0
6.1,0.019495348,0.02295486,0.0
6.2,0.019495348,0.02295486,0.0
6.3,0.011145315,0.012938126,0.0
6.4,0.011145315,0.012938126,0.0
6.5,0.008770182,0.0101357745,0.0
6.6,0.008751754,0.010114984,0.0
6.7,0.0069657755,0.008029104,0.0
6.8,0.005276473,0.006065117,0.0
6.9,0.0040415525,0.0046236464,0.0
7.0,0.0011529627,0.0012300676,0.0
7.1,9.913679E-4,0.0010461869,0.0
7.2,9.6462725E-4,0.0010164106,0.0
7.3,9.3268487E-4,9.809977E-4,0.0
7.4,8.616491E-4,9.047858E-4,0.0
7.5,7.3233736E-4,7.687243E-4,0.0
7.6,6.790207E-5,7.4212665E-5,0.0
7.7,4.4567398E-5,4.989227E-5,0.0
7.8,2.9258597E-5,3.539651E-5,0.0
7.9,1.5379954E-5,1.984229E-5,0.0
8.0,6.959095E-6,1.1157685E-5,0.0
8.1,1.3874273E-7,2.495484E-7,0.0
